,id,country,province,winery,variety,points,description
154757,123856,US,California,Castle Rock,Sauvignon Blanc,89,spectrum emphasizing grapefruit kiwi makes lively original assertive aromas grapefruit mown grass leap glass vivid tangy lingering crisp texture richness body complete package
90191,159290,Australia,South Australia,Wakefield Estate,Riesling,90,textbook clare valley riesling lime sherbet aromas across slightly dimensional young medium bodied slightly dusty texture especially notable long now–
258579,27678,US,California,Hesperian,Cabernet Sauvignon,86,almost color tannic four cabernet soft blackberry cassis dark chocolate despite made cabernet aging possibilities limited
218674,237773,US,Washington,Betz Family,Cabernet Sauvignon,96,taut muscular toasty young tight concentrated pure evocative earthy soil spice mineral complex betz blends vintage includes cabernet sauvignon—far away dominant fruits unfold panoply reds blues chewy polished complex showing exemplary back palate grip concentration
34157,53256,Italy,Piedmont,Ioppa,Red Blend,90,berry white pepper crushed herb balsamic lead elegant tense weight palate offers raspberry tart cherry anise clove framed taut polished bright
49049,68148,US,California,Justin,Red Blend,94,lush lavish ways blend syrah cabernet sauvignon petite sirah shows vanilla cream clove chiffon blueberry pudding palate packs blueberry pepper graphite espresso bean toasted sage framed solid structure tooth coating
9299,259299,US,California,B Side,Cabernet Sauvignon,85,flavorful intricate layers blackberries currants anise cedar entirely drawback sharpness form green acidic
121106,190205,France,Bordeaux,Château Citran,Bordeaux-style Red Blend,88,fresh firm seems typical fresh fruity
61135,80234,Spain,Northern Spain,Inurrieta,Sauvignon Blanc,86,passion citrus aromas straightforward sharp feels lemony tangy lean lemon lime mixed fresh green herbs scallion tarragon blend lingering lime
8021,258021,US,New York,Sherwood House Vineyards,Merlot,85,spicy sweet plums charred marry limited release sherwood house tobacco leaf green grass throughout soft supple dark smoky pleasant
194372,213471,US,California,Harmonique,Pinot Noir,89,soft pinot seems like coming useful life fully cherry berry cola spice starting turn mushroomy
250781,19880,France,Burgundy,Vincent Sauvestre,Pinot Noir,90,firm currant raspberry fruits dominate smooth underneath round pinot noir essential firmness
180425,149524,Canada,British Columbia,Quails' Gate,Chardonnay,88,half stainless half barrel soft supple boasts grapefruity acids lightly buttery pear flavored medium long fresh complex parting kiss cinnamon spice
101014,170113,France,Burgundy,Jean-Luc and Paul Aegerter,Pinot Noir,93,firm dense powerful dark concentrated character juicy plum damson fresh aftertaste delicious balance develops
223041,242140,US,California,Lolonis,Zinfandel,85,tastes cooked like oozes oven baked cherry raspberry chocolate fudge cassis exotic
79371,98470,Chile,Cachapoal Valley,Valle Secreto,Syrah,91,cherry plum aromas pure appealing peppery accents flush lush spiced plum oaky chocolate elegant focused valle secreto makes consistently syrah winery best date
27518,277518,Chile,Maipo Valley,De Martino,Red Blend,85,taut structured offering emphasizes cocoa coffee aromas complemented cedary underpinnings cherries currants keep things interesting
56970,76069,US,California,Priest Ranch,Bordeaux-style Red Blend,88,combines cabernet franc merlot cabernet sauvignon adding malbec petit verdot five bordeaux varietal blend coconut flakes vanilla hugged ride sticky quick offering huge ripeness
1665,251665,Chile,Colchagua Valley,Montes,Syrah,88,ruby pink color sweet aromas cotton candy cherry raspberry strawberry departure previous vintages cherub drier paler color wild textured full bodied rosés chile like rosés subtle less sweet
240621,9720,US,California,Roth,Sauvignon Blanc,90,tingling wraps around core pear peach integrated layered lush quiet entry midpalate picking power weight lovely choice table
187498,206597,France,Loire Valley,Domaine Laporte,Sauvignon Blanc,89,tropical character fixed firmly mineral context firm grapefruit character texture fresh rounds
11656,261656,France,Bordeaux,Château Valandraud,Bordeaux-style Red Blend,95,barrel sample powerful building freshness chocolate licorice powerful fruits structure potentially immense great
56682,75781,France,Burgundy,Jacques Bourguignon,Chardonnay,85,made buttery style vanilla toast flavored chablis tropical fruits dominate fruity palate touch minerality steeliness sight
126889,195988,US,California,Loring Wine Company,Pinot Noir,94,deliriously delicious decadent stupendously flavorful words describe impression massive makes explosion blackberry cherry marmalade vanilla fudge oriental spice carefully controlled crisp softly tannic package loring wines possess superripeness somehow brings balance sophistication
269841,38940,US,New York,Tousey,Pinot Noir,88,sweet tart raspberry cranberry aromas lifted spry fresh aromatic pinot noir palate markedly riper richer boasting dark cherry berry heady spice tones linger craggy bitter finely grained
84920,154019,US,California,Andrew Murray,Syrah,92,flamboyant syrah central coast appellation grapes blend santa barbara cool vineyards warm paso robles recipe forward wrapped firm structure cases produced
268306,37405,US,California,Lichen Estate,Pinot Noir,88,leaf cherry sweet vermouth aromas precede lightly tart cherry rhubarb herb lean moderately tannic oaky appealing appetizing austere giving satisfaction
24300,274300,Germany,Mosel-Saar-Ruwer,St. Urbans-Hof,Riesling,91,like virtually urbans wines starts sulfury quality underneath readily apparent scents slate apple white peach melon generous restrained texture featuring almost austere minerality balances residual sugar cool stony long future ahead
271689,40788,US,Washington,Chateau Ste. Michelle,Cabernet Sauvignon,90,aromas bring spicy cayenne pepper dark roasted coffee wood spice cherry palate full polished voluptuous dark backed lightly grainy
260096,29195,Chile,Aconcagua Valley,Errazuriz,Syrah,91,syrah chunky aromas baked fruits forest floor chocolate berry syrup soft lush syrupy feeling jammy ultraripe baked blackberry tobacco coffee herbs finishes chewy dense without spine kick
203128,222227,US,California,Alfaro Family,Pinot Noir,85,simple rustic shows pinot silky texture racy subtle cherry pomegranate cola chunky clunky mouth seems contain unripe grapes
214279,233378,France,Beaujolais,Château du Chatelard,Chardonnay,83,soft gentle white creaminess simple crisp fresh
51096,70195,Austria,Südsteiermark,Wohlmuth,Sauvignon Blanc,91,faintest breeze conjure lemony freshness spritzy light bodied fragrant aromatic allure citrus foliage lime zest unfolds beautifully creamy balanced palate makes grown
219565,238664,Germany,Mosel-Saar-Ruwer,Reichsgraf von Kesselstatt,Riesling,92,youthful auslese showing postfermentation estery characters perfumed floral tropical banana pineapple nearly overwhelming sweet side overlook underlying minerality worth cellaring least
92372,161471,US,Washington,Tulpen,Cabernet Sauvignon,91,fringes washington exploring farming irrigation norm fresh herb blackberry raspberry aromas lead packed elegant herbal streak running head tail
212877,231976,US,California,Pennywise,Chardonnay,87,great price production cases chardonnay quality crisp elegantly structured savory citrus peach mineral vanilla chards costly sebastiani sons
207771,226870,Chile,Curicó Valley,Pacifico Sur,Merlot,85,slightly herbal bouquet unappealing racy rubbery palate generic solid berry herbal aromas long herbal mildly scratchy standard merlot chile
165476,134575,US,California,Silver Mountain,Pinot Noir,91,tart full cranberry aromas meld sagebrush cardamom bottling increasingly popular vineyard appellation baking spice dried ginger mark palate driven lively accenting core raspberry pencil lead
64255,83354,US,Washington,Cayuse,Syrah,98,subtle complex utterly distinctive opening streaks butter cookie mushroom broth tightly wound berry earthy coffee grounds darker streaks espresso smoke licorice deeply layered keep piling amazing
253859,22958,US,Washington,Barnard Griffin,Sauvignon Blanc,86,aromas herb grass pear citrus lead sleek shows elegance lacks concentration
54649,73748,Chile,Maule Valley,Caliboro Estate,Bordeaux-style Red Blend,89,earthy smoky berry cherry aromas distinctly leathery lightly herbal feels tight bold cutting toasty herbal plum peppercorn long blazing residual fact sharp rendition erasmo likely friendly currently
216832,235931,US,California,Hall,Merlot,86,beat showing tiredness result heat soft candied blackberry cherry ageworthy
210744,229843,US,California,MacRostie,Pinot Noir,92,decanter aerate hour smooth silky pinot noir emerge cherry filling spice fine gentle grapes four vineyards shows mastery blending
71065,90164,France,Alsace,Emile Beyer,Riesling,92,touch gold color fine full bodied shows light touch sweetness lemon honey grapefruit taut wonderfully crisp another
160715,129814,France,Burgundy,Simonnet-Febvre,Pinot Noir,89,crisp sparkling burgundy laced taut nuts toast tension strong mineral element cool fresh best food
263037,32136,US,California,Joseph Carr,Cabernet Sauvignon,88,solid priced widely available deep color offers sultry blackberry cocoa coffee aromas soft coat palate bringing tart cherry woody spice grip
243183,12282,Canada,Ontario,Colio,Riesling,90,shows pronounced oily earthy almost tobacco like elements bouquet honey clementines overly flavorful complete excellent balance like colio estate wines emphasizes subtle earth shadings slap face
150591,119690,US,California,Armitage,Pinot Noir,92,bottled trippy looking label promotes brand spiritual bent conveys elegant eucalyptus purple flowers fresh pomegranate wild mint sage pencil shavings savory roasting herbs spice palate pepper oregano thyme warm toward cherry cardamom finishes crisp
48767,67866,Chile,Colchagua Valley,Casa Silva,Merlot,85,solid effort cherry currant aromas palate bears scratchy raspberry plum mild crisp pair basic foods
171446,140545,Italy,Tuscany,Dei,Red Blend,90,loaded energy polished opens fragrant blue flower leather plum baking spice aromas juicy vibrant palate offers tart cherry cranberry clove thyme fine grained lending grip racy linear fully develop
152575,121674,France,Bordeaux,Château Teyssier,Bordeaux-style Red Blend,87,soft rounded shows gentle side bordeaux sweet hinting wood blackberries finishing sweetness
34340,53439,US,California,Joseph Phelps,Syrah,90,fine syrah producer long history success rhône variety inky dark color palate tannic long deep spicy blackberries grilled meat pepper toasty provide drinking grilled meats stews
155715,124814,France,Bordeaux,Château Suau,Bordeaux-style Red Blend,88,firmly structured core feel extracted giving bitterness shows potential juiciness always severe great food partner
13668,263668,New Zealand,Waipara,Torlesse,Riesling,87,light bodied riesling offers fresh limes crushed stones followed bright citrus lime grapefruit tart brisk making mouthwatering apéritif
149525,118624,US,California,Paul Dolan,Sauvignon Blanc,86,steely mouthfeel tight lemon herb full bodied refreshing reserved accompaniment shellfish pasta
162923,132022,US,California,Grgich Hills,Cabernet Sauvignon,92,exotic complex medium bodied structured awash aromas charcuterie mixed cedar pencil anchoring dusty tannic profile punch
56905,76004,France,Bordeaux,Château Trotanoy,Bordeaux-style Red Blend,96,certainly firm impressive power smoothness fruits combine beautifully judged wood contrast tension dense chewy core heart dark solid concentrated promising long aging
157395,126494,Italy,Southern Italy,Cantele,Chardonnay,86,fresh chardonnay southern italy citrus aromas followed pear peach offers aromas touch creaminess palate
126974,196073,Germany,Mosel-Saar-Ruwer,Maximin Grünhäuser,Riesling,88,intensely diesel like almost point nuttiness full bodied broad muscular palate delivering oranges stones drier spätlesen raciness elgance makes sheer power
178337,147436,US,Washington,Columbia Winery,Cabernet Sauvignon,91,boysenberry cranberry sour cherry start strong foundation espresso bitter chocolate pass super tuscan blind tasting unfolds slowly interesting herbal olive edge reward additional cellaring
280292,49391,US,California,Hill Wine Company,Sauvignon Blanc,82,tart unripe green severe feline citrus fruits
94815,163914,Germany,Mosel,Reichsgraf von Kesselstatt,Riesling,93,smoky dark violet heather tones sexy subtlety complex shadowy palate bright sunny quite style intense shower crushed minerals lime penetrate
130640,199739,US,Washington,Latah Creek,Riesling,90,classy classic riesling residual sugar offset zippy acids bright fresh crisp clean wash honeyed sweetness underlying peaches apple flavored juice delightful bottle riesling
182013,201112,France,Bordeaux,Château Grand-Maison,Bordeaux-style Red Blend,88,dense supporting solid fruits plenty wood balance weight intensity important elements
9704,259704,US,California,South Coast,Syrah,83,sugary simple sweet cola licorice blackberry cherry finely structured sweet
231363,462,France,Burgundy,Henri de Villamont,Chardonnay,92,fruity shows richness structure vintage never loses sight balance full yellow fruits green plums citrus structured refreshing minerally texture gentle wood aging
152968,122067,US,Oregon,Plaisance Ranch,Merlot,90,smooth pleasantly herbal silky blueberry plum cherry spent months barrel lends light chocolate velvety delicate delightful consumed retains youthful freshness
174776,143875,US,California,Terre Rouge,Syrah,89,earthy syrah terre rouge vineyard designate exhibits integrated dark blue amidst tobacco herb highlights
103491,172590,US,California,Matchbook,Cabernet Sauvignon,87,blend cabernet sauvignon petit verdot syrah perfectly serviceable incredibly herbaceous green pepper olive tapenade soft
40323,59422,Spain,Northern Spain,Olivier Rivière,Red Blend,93,another raring bordeaux born rivière settle aromas clamping palate sense skins hopes resolve peppery plum wild berry cheek grabbing lasting toastiness
25239,275239,US,California,Hoopes,Cabernet Sauvignon,90,opens lovely perfume sharp recognizable whiff cabernet toasty cherries cassis wintergreen spice anise mouth made delicate elegant style others appealing silk satin texture
258563,27662,Italy,Tuscany,Tenuta San Vito,Red Blend,90,happy blend sangiovese cabernet merlot delivers delicate blueberry nuances warm toast flows palate leaving clean refreshed
264518,33617,US,California,Bailiwick,Pinot Noir,91,light silky packs real punch complexity layers raspberry cherry cola sweet mushroom driven earthiness might burgundian tightness suggests aging possibly long haul
48359,67458,US,Oregon,Ponzi,Chardonnay,94,pair single vineyard reserve level chardonnays seamlessly pulls together yellow apple lemon panna cotta white pepper suggestion rock located chehalem mountains aurora fermented wild yeast malolactic aged third thirds neutral french wild yeast adds detail texture makes soft buttery graceful prolonged exit
221221,240320,US,California,Whitehall Lane,Cabernet Sauvignon,90,young cellaring plush currant crème cassis oaky wrapped soft velvety chocolaty licorice hold
257530,26629,US,California,Sarah's Vineyard,Chardonnay,91,vanilla bean cream marcona almond buttered cornbread seared pear makes inviting entry bottling vanilla caramel extend palate judiciously light candied pecans baked honeysuckle altogether quite delicious
229515,248614,US,California,Vinum,Cabernet Sauvignon,86,robust jammy tastes like cherry chocolate truffle dessert sweet probably technically soft candied style appeals love
97987,167086,Italy,Tuscany,Rocca di Frassinello,Red Blend,88,blend sangiovese merlot cabernet sauvignon syrah shows ripened aromas cherry prune blackberry plum spicy toasted appear giving richness softness
271797,40896,US,California,Graveyard,Red Blend,83,dense olallieberry asphalt bottling tart plum skin scent grape like sweetness palate touches cola else
193600,212699,Chile,Loncomilla Valley,Cremaschi Furlotti,Syrah,86,smells scratchy lemony vanilla coconut barrel driven scents feels scratchy like decent mouthfeel tangy blended sweeter vanilla candied oaky sweet short
196592,215691,Cyprus,Commandaria,Loel,Red Blend,87,dried chocolate apricot layers commandaria spicy smooth sweet savory heavy earthy herbal character adds dimension historic great apéritif rocks
5346,255346,Italy,Tuscany,Tenuta di Trecciano,Syrah,87,pure expression syrah tuscany shows loads ripened aromas mature berry mesquite pepper smoked true variety smooth close soft
80677,99776,Italy,Central Italy,Falesco,Merlot,88,soft round opens aromas vanilla blackberry plum espresso chocolate alongside smooth complex delicious ready enjoy
41297,60396,Italy,Northeastern Italy,J. Hofstatter,Chardonnay,86,soft creamy crispness palate clean touch vanilla appley
8808,258808,US,California,Turning Leaf,Chardonnay,84,sweet jammy side shows plenty chard character vein creamy smoky peaches pears pineapples green apples
13456,263456,US,Oregon,Atticus,Pinot Noir,89,debut effort small family owned winery offers light scents pepper berries rose petals vanilla delicate sculpted capture nuances pinot without attempting bulk unnecessarily play sweetly across palate finishing milk chocolate spice
253123,22222,Chile,Colchagua Valley,La Playa,Cabernet Sauvignon,84,mostly neutral style clean properly made offers shot nectarine pointed palate features pink grapefruit citrus finishes citrusy mildly bitter pithy decent basic inexpensive pink
58922,78021,US,California,Waxwing,Syrah,91,smoky bacon pepper layer generous smooth making somewhat didactic intriguing varietal aged almost used french medium bodied elegance texture cries paired meat
95841,164940,Argentina,Mendoza Province,Trapiche,Chardonnay,85,waxy aromas suggest haystack dusty apple borderline heavy cloying mouth main driver profile melon banana covered resiny
27530,277530,US,California,Folie à Deux,Zinfandel,84,juicy jammy aromas earthy tobacco clove accents american extracted wild berry spice quite high—almost searing—acidity raspy thanks acids tough
120067,189166,US,California,Halter Ranch,Cabernet Sauvignon,85,compromised porty raisiny tannic undertow currant fare tame
236363,5462,US,California,Justin,Cabernet Sauvignon,86,tannic fresh young cabernet shows varietal blackberries currants touched smoky green sound unlikely develop
171963,141062,France,Bordeaux,Château Lynch-Bages,Bordeaux-style Red Blend,94,luxurious opulently fruits dominate lending fullness firm structure backdrop great potential density weight touches chocolate licorice combine dark plum toast spice
77214,96313,US,California,Foxen,Pinot Noir,92,light fresh aromas cherry dark strawberry sagebrush fairly deep single vineyard bottling cranberry pomegranate coat palate compelling edges fennel root beer light clove
11803,261803,US,California,Pelton House,Merlot,88,brand jess jackson quite interesting—absolutely tannic acidic austere bitterness cherryskin possesses polish elegance work needed merlot watch
61454,80553,Chile,Puente Alto,Concha y Toro,Cabernet Sauvignon,92,iconic chilean cabernet firm cola cassis cherry leather aromas racy juicy powerful cassis blackberry plum nutmeg coffee swim harmony elegant clean
256243,25342,US,California,Pestoni Family,Cabernet Sauvignon,94,terrific cabernet sauvignon dramatically structured smooth mountain lush complex blackberry cassis dark chocolate satisfies every level napa valley decade
39464,58563,Germany,Rheinhessen,Dr. Heyden,Riesling,85,relatively kabinett slightly nutty scents vegetable followed peach underripe melon parts actually better sound alone offering fresh lemony refreshment mineral underpinnings
170628,139727,France,Bordeaux,Château du Grand Bos,Bordeaux-style Red Blend,86,mushroom aromas indicate mature light textured green herbs aging
185037,204136,US,New York,Standing Stone,Red Blend,84,crisp cherry cedar flecked tomato leaf spice vibrantly acidic blend brisk clean palate frame gentle
243730,12829,Italy,Tuscany,Castello di Monterinaldi,Red Blend,88,menthol worn leather moist earth plum whiff oriental spice aromas lift glass taut lean palate shows cherry orange zest mocha white pepper alongside austere fine grained nervous
167037,136136,France,Alsace,Domaine Saint-Rémy,Pinot Noir,88,aromatic berries signal tart pleasure redcurrant raspberry smooth body fully plays light bodied charm aromas sing
144062,113161,France,Burgundy,Labouré-Roi,Pinot Noir,87,soft warm attractive cherry subtly background open generous ready
130261,199360,US,California,Babcock,Chardonnay,88,workhorse release always dependable producer excellent enormously complex layered offers front peach veering tropical solid dose smoky adds nuance vibrant alive high endows marvelous structure
221342,240441,US,Washington,Isenhower,Cabernet Sauvignon,90,supple lightly spicy svelte—it sleekness fine racehorse runs across palate confident gallop brambly elegant nuanced herb stone fruits poise balance burn
143272,112371,Argentina,Mendoza Province,Trivento,Chardonnay,81,light feels tangy mouth sharp mustard brine lime finishes pickled
24804,274804,US,California,Kenwood,Sauvignon Blanc,90,walk case california best long deep gooseberry alfalfa complexed richer lime peach custard vanilla pudding sweetie crisp acids
185492,204591,France,Loire Valley,Domaine Fouassier,Sauvignon Blanc,89,yellow peach apricot light burst sent mineral texture first apple skin edge bottle
124420,193519,US,California,Bonterra,Sauvignon Blanc,83,crisp clean sauvignon blanc limes gooseberries vanilla notorious feline spray taste detracts
25226,275226,US,Washington,Boudreaux Cellars,Cabernet Sauvignon,87,slightly stewed runs full soft open soft first turns tannic back finishes somewhat cooked plenty toasty
141576,110675,US,California,Conclusion,Cabernet Sauvignon,90,juicy earthy tremendous site firm thick tannic structure cedar tobacco dill complement bolder swathes powerfully concentrated grippy coconut
221797,240896,US,California,Dry Creek Vineyard,Cabernet Sauvignon,89,huge cabernet soft modern manner blast cherry milk chocolate plenty toasty firm complex hold
200551,219650,France,Burgundy,Manuel Olivier,Pinot Noir,86,fruity showing fresh berry fruits maybe fresh pronounced seeming float juicy character
201455,220554,Australia,South Australia,Clarendon Hills,Syrah,92,liandra syrah complex offerings combining dark chocolate dried juicier raspberry tied together fine dusting baking spices velvety texture long touch warm now–
197242,216341,Italy,Lombardy,Barone Pizzini,Chardonnay,88,barone pizzini brut nature rests lees long shape creamy toasted sparkling aromas baked bread stone roasted almond
240234,9333,Chile,Limarí Valley,Maray,Red Blend,89,blend mostly syrah merlot cabernet sauvignon backing dense earthy meaty lightly roasted palate mildly tannic lively roasted foresty plum berry short baked character
155251,124350,France,Burgundy,Alex Gambal,Pinot Noir,88,grapes close volnay strawberry plum flavored soft juicy attractive perfumed aftertaste
279085,48184,France,Rhône Valley,Éric & Jöel Durand,Syrah,90,brothers better known cornas saint joseph combines marinated beef blackberries espresso medium full bodied mouthwatering several
197744,216843,US,California,Saintsbury,Pinot Noir,89,pinot shows cherry raspberry bacon wrapped silky texture highlighted tart
128346,197445,Argentina,Mendoza Province,Septima,Cabernet Sauvignon,86,dark color backed deep earthy aromas mouth full sweet baked chocolate coffee finishes berry molasses candied sweet styled cabernet gets
225427,244526,US,California,Caymus,Cabernet Sauvignon,93,young dense almost misleading soft fruitiness tremendous power despite appearance approachability mistake cellar explosive berry melted open tonight proven ageability begin mature least
43005,62104,US,California,Trefethen,Cabernet Sauvignon,91,made classic bordeaux varieties polished supple tannic fine drinking shows concentration blackberry currant liqueur sweet intensity leads long
207002,226101,Spain,Catalonia,Scala Dei,Red Blend,91,deep purple color roasted rubbery aromas wild blackberry thick lush mouth mellow priorat broad plum blackberry herbs smooth leftover
83727,152826,South Africa,Stellenbosch,Thelema,Cabernet Sauvignon,90,getting name definitely minty herbaceous almost hard believe mingles crushed violets currant leaf solid core cassis plum skins firm tight mouth approachable breathing
137243,106342,US,California,Raymond,Cabernet Sauvignon,91,sweetened highlight depth chocolate blackberry varietal made small amounts soft juicy crafts balance richness density around elegant spicy clove cinnamon
265129,34228,US,New York,Macari,Sauvignon Blanc,88,intense minerality shines concentrated lemon green apple fresh vivacious sauvignon blanc refreshingly brisk palate bright tickle spritz tongue
61703,80802,US,Oregon,Lumos,Pinot Noir,86,aromas first convey somewhat stemmy weedy impression woven ultimately brings better balance underlying tangy substantial length
80208,99307,US,California,Baldacci,Cabernet Sauvignon,92,tough astringent lockdown quality iron fist velvet glove flamboyant core blackberries cassis young least around
182781,201880,France,Bordeaux,Château Latour-Martillac,Bordeaux-style Red Blend,91,perfumed immediately appealing richness feels opaque density layering upon luxurious velvet feel result almost drinkable
245359,14458,France,Loire Valley,Domaine des Berthiers,Sauvignon Blanc,91,young full bodied densely packed currant bitter orange flinty crisp edge comes bright least together
83951,153050,South Africa,Stellenbosch,Spier,Cabernet Sauvignon,89,concentrated welcoming aromas fruits bacon african violets soft pepper mouth intense anticipate concentrated dark plum currant accents coconut long gripping structure firm hearty meat dishes superb pairing
149049,118148,US,Oregon,Harry & David,Red Blend,83,among components merlot cabernet sauvignon cabernet franc malbec quarter blend listed simply dark light thin citrus dominating
132323,101422,France,Loire Valley,Domaine des Corbillières,Sauvignon Blanc,87,classic intensely herbaceous grassy fine cool climate sauvignon blanc keeps restraint fresh grapefruit soften midpalate final though full asparagus green fruits
245745,14844,France,Alsace,Jean-Baptiste Adam,Riesling,88,earthy tones cling pear peach bitterness palate leavened bright pure streak lemon slender body
194352,213451,US,California,Kendall-Jackson,Chardonnay,92,beautiful racy chardonnay streamlined structure almost fine barrel aged sauvignon blanc marked mouthwatering savory lemongrass vanilla white pepper first class elegant cocktail sipper
87144,156243,US,California,Ancient Oak Cellars,Pinot Noir,85,pinot noir thin simple spice raspberry candy persimmon tastes fairly sweet crisp provides balance
876,250876,US,California,Highway 12,Bordeaux-style Red Blend,90,structure elegance mark fine blend cabernet sauvignon cabernet franc merlot blackberry cherry currant modulates crisp bite astringency course suggests roasts grilled steaks lovely best
248114,17213,US,California,Bota Box,Cabernet Sauvignon,86,equivalent regular bottle cabernet three liter real value fruity blackberry spice robust clean smooth
131313,100412,US,California,Tres Sabores,Zinfandel,93,producer farmed estate vineyard elegantly powerful opens cracked pepper dried herb cedar continuing peppery theme palate cherry high toned blackberry combine savory elements overall softness texture lengthy
75346,94445,France,Loire Valley,Henri Bourgeois,Sauvignon Blanc,95,selected sunny parcels vines powered citrus pear fruits intensely mineral texture supreme concentration sancerre keep young gawky best drunk
139159,108258,France,Burgundy,Domaine Sangouard-Guyot,Chardonnay,92,quintessence name minerality structure soul appellation addition offers apricot pear fruitiness intense drinkable better
162628,131727,US,California,The Calling,Pinot Noir,90,robust full bodied sultry within producer single vineyard series known respected site candied cherry atop abundance cola spice earthy truffle promising opens glass
266054,35153,US,California,XYZin,Zinfandel,86,robust deeply flavored wild berry tobacco smoked meat spice somewhat rustic roasts barbecue
108876,177975,US,California,Morgan,Pinot Noir,92,kind pinot noir made variety enormous success full bodied packed cherry currant bacon sandalwood edge sweet totally shows true santa lucia terroir
228346,247445,US,California,Roche,Chardonnay,90,super tropical papaya pineapple white peach charry caramel sweetness seems sweet clove anise
104187,173286,Italy,Tuscany,Michele Satta,Red Blend,91,beautiful boasts impressive harmony balance spice tannic acidic elements blend cabernet sauvignon sangiovese merlot bouquet redolent cherry blackberry cinnamon leather
200886,219985,US,California,Kirkland Signature,Cabernet Sauvignon,87,softly lush forward cabernet shows ripened blackberry currant finished touch smoky price stags leap
133128,102227,France,Burgundy,Domaine Trouillet,Chardonnay,85,simple fruity pear light minerality zingy aftertaste smooth rounded looks though ready early
112633,181732,US,California,Williams Selyem,Chardonnay,93,classic russian river williams selyem chardonnay bright hardly notice papayas tangerines peaches pears meyer lemons minerals mingle perfectly vanilla buttered toast producing elegance creamy flair cold
183544,202643,US,California,Stemmler,Pinot Noir,92,concentrated elusively complex cherry currant sandalwood tomato bloody meat testifies cool vintage dense quite tannic high alcohol giving full body ungainly impressive nonetheless sheer power cellar
163759,132858,France,Alsace,Domaine Gérard Neumeyer,Riesling,91,vines farmed neumeyer local hospices molsheim charity intense character already rounding minerality chalk soil complex develop several
92247,161346,US,Washington,Maison Bleue,Chardonnay,92,focus elegance hallmarks offers purity characterizes virtually maison bleue white wines first sniff last resonating swallow smells tastes like bowl full peaches pineapples mixed stone fruits tight defined influence
151227,120326,US,California,Point Concepción,Pinot Noir,89,lovely pinot noir silky giving pleasure mouth shows polished cherry raspberry spice cargasacchi
119423,188522,US,Washington,Boomtown,Chardonnay,87,sauvignon blanc blend stainless steel chardonnay tight spicy melon apple vitamin pill streak comes leads almond almost like northern italian style almond pepper relatively high food
266104,35203,US,California,Matrix,Pinot Noir,91,depth baking spices cinnamon stick greets palate eager abundance showing savory flirty side helps balance powerful concentration sword edge alcohol finishing fresh length
162186,131285,France,Bordeaux,Château Laffitte Carcasset,Bordeaux-style Red Blend,87,smoky firm tough core juicy taking develop provide density berry fruits vineyard created early peak maturity
216478,235577,US,California,Ben Hogan,Zinfandel,83,simple jammy zinfandel gentle raspberry cherry cola spice sweet high alcohol
28535,278535,US,California,Waltzing Bear,Pinot Noir,90,medium ruby color inviting dried cherry cinnamon cola smoky pinot shows classic varietal structure elegance silky texture penetrating austere angular decanting short term aging
187005,206104,US,California,Vine Cliff,Cabernet Sauvignon,94,always impressive degree greatness vintage driven suggesting extreme sensitivity oakville terroir ageable concentrated better falling short approached perfection tannic blackberries currants dark chocolate long spicy intensity hold long life beyond
114353,183452,US,Washington,Tranche,Syrah,91,strong focus tranche estate inky purple glass almost impenetrable lushly aromatic dried berries plums cherries generous vein vanilla tobacco—from months french oak—leads chewy
148034,117133,US,California,Zinsane,Zinfandel,80,aromatically texturally thin fairly nondescript
44770,63869,US,Washington,William Church,Red Blend,87,cherry center light scents fresh tobacco blend thirds syrah third cabernet sauvignon balanced highlighted streak cinnamon toast
48235,67334,US,California,Savannah-Chanelle,Pinot Noir,87,tasting tight candied pinot might bottle knit together jammy young taste fresh cherries raspberries mouthwatering
227223,246322,Austria,Styria,Erwin Sabathi,Sauvignon Blanc,88,pungent herbal grassy overlay bright lime solid mineral base structured like bordeaux blanc
161634,130733,US,Oregon,Provincial Vineyards,Pinot Noir,89,barrel french neutral cranberry subdued tart barrel aging brings popcorn walnuts trace butter brickle bottle open
233467,2566,US,Washington,Hightower,Bordeaux-style Red Blend,89,labeled cabernet sauvignon makes blend rest merlot aromas leather dried blackberry licorice medicine cabinet bright though considerably evolved might indicate display sense balance carries
156081,125180,US,Washington,Two Vintners,Syrah,93,vibrant complex aromas grilled asparagus ember tapenade fresh herb potpourri moist earth lead full abundant palate coating savory shows sense styling impeccable balance
180087,149186,Chile,Casablanca Valley,Quintay,Sauvignon Blanc,90,pungent precise textbook green aromas tropical fruits lushness feels lively juicy lime lychee green apple pineapple settle passion finishing
45547,64646,Argentina,Mendoza Province,Santa Julia,Chardonnay,84,neutral aromas apple peach kick round citrus mild pickled vegetable apple carry palate fleshy basic chardonnay youthful bounce touch additional pickle soon
162627,131726,US,Idaho,Telaya,Syrah,90,aromas earth char dark berries alluring never lose deftness
149596,118695,Chile,Central Valley,Misiones de Rengo,Sauvignon Blanc,82,mild sauvignon blanc offers simple citrus passion aromas front oily feeling pulpy palate vinaigrette cactus grapefruit mealy lemon orange
216119,235218,Chile,Limarí Valley,Miguel Torres,Chardonnay,88,popcorn nutty announce ample complex combination mineral baked white aromas emerge feels layered chunky finesse tastes candied apple melon sweet peach fleshy lasting
